ix,iy,xmin,xmax,ymin,ymax,count,x_center,y_center
0,0,-124.8753333,-124.51021107999999,31.0935,31.42848889,0,-124.69277219,31.260994445
1,0,-124.51021107999999,-124.14508886,31.0935,31.42848889,0,-124.32764997,31.260994445
2,0,-124.14508886,-123.77996664,31.0935,31.42848889,0,-123.96252774999999,31.260994445
3,0,-123.77996664,-123.41484442,31.0935,31.42848889,0,-123.59740553,31.260994445
4,0,-123.41484442,-123.04972219999999,31.0935,31.42848889,0,-123.23228330999999,31.260994445
5,0,-123.04972219999999,-122.68459998,31.0935,31.42848889,0,-122.86716109,31.260994445
6,0,-122.68459998,-122.31947776,31.0935,31.42848889,0,-122.50203887,31.260994445
7,0,-122.31947776,-121.95435554,31.0935,31.42848889,0,-122.13691664999999,31.260994445
8,0,-121.95435554,-121.58923331999999,31.0935,31.42848889,0,-121.77179443,31.260994445
9,0,-121.58923331999999,-121.2241111,31.0935,31.42848889,0,-121.40667221,31.260994445
10,0,-121.2241111,-120.85898888,31.0935,31.42848889,0,-121.04154999,31.260994445
11,0,-120.85898888,-120.49386666,31.0935,31.42848889,0,-120.67642777,31.260994445
12,0,-120.49386666,-120.12874443999999,31.0935,31.42848889,0,-120.31130554999999,31.260994445
13,0,-120.12874443999999,-119.76362222,31.0935,31.42848889,0,-119.94618333,31.260994445
14,0,-119.76362222,-119.3985,31.0935,31.42848889,4,-119.58106111000001,31.260994445
15,0,-119.3985,-119.03337778,31.0935,31.42848889,1,-119.21593888999999,31.260994445
16,0,-119.03337778,-118.66825556,31.0935,31.42848889,0,-118.85081667,31.260994445
17,0,-118.66825556,-118.30313334,31.0935,31.42848889,0,-118.48569445000001,31.260994445
18,0,-118.30313334,-117.93801112,31.0935,31.42848889,0,-118.12057223,31.260994445
19,0,-117.93801112,-117.5728889,31.0935,31.42848889,0,-117.75545001,31.260994445
20,0,-117.5728889,-117.20776668,31.0935,31.42848889,0,-117.39032779,31.260994445
21,0,-117.20776668,-116.84264446,31.0935,31.42848889,0,-117.02520557,31.260994445
22,0,-116.84264446,-116.47752224,31.0935,31.42848889,2,-116.66008335000001,31.260994445
23,0,-116.47752224,-116.11240002,31.0935,31.42848889,1,-116.29496112999999,31.260994445
24,0,-116.11240002,-115.7472778,31.0935,31.42848889,20,-115.92983891,31.260994445
25,0,-115.7472778,-115.38215558,31.0935,31.42848889,59,-115.56471669000001,31.260994445
26,0,-115.38215558,-115.01703336,31.0935,31.42848889,2,-115.19959447,31.260994445
27,0,-115.01703336,-114.65191114000001,31.0935,31.42848889,0,-114.83447225,31.260994445
28,0,-114.65191114000001,-114.28678892,31.0935,31.42848889,6,-114.46935003000002,31.260994445
29,0,-114.28678892,-113.9216667,31.0935,31.42848889,2,-114.10422781,31.260994445
0,1,-124.8753333,-124.51021107999999,31.42848889,31.76347778,0,-124.69277219,31.595983335
1,1,-124.51021107999999,-124.14508886,31.42848889,31.76347778,0,-124.32764997,31.595983335
2,1,-124.14508886,-123.77996664,31.42848889,31.76347778,0,-123.96252774999999,31.595983335
3,1,-123.77996664,-123.41484442,31.42848889,31.76347778,0,-123.59740553,31.595983335
4,1,-123.41484442,-123.04972219999999,31.42848889,31.76347778,0,-123.23228330999999,31.595983335
5,1,-123.04972219999999,-122.68459998,31.42848889,31.76347778,0,-122.86716109,31.595983335
6,1,-122.68459998,-122.31947776,31.42848889,31.76347778,0,-122.50203887,31.595983335
7,1,-122.31947776,-121.95435554,31.42848889,31.76347778,0,-122.13691664999999,31.595983335
8,1,-121.95435554,-121.58923331999999,31.42848889,31.76347778,0,-121.77179443,31.595983335
9,1,-121.58923331999999,-121.2241111,31.42848889,31.76347778,0,-121.40667221,31.595983335
10,1,-121.2241111,-120.85898888,31.42848889,31.76347778,0,-121.04154999,31.595983335
11,1,-120.85898888,-120.49386666,31.42848889,31.76347778,0,-120.67642777,31.595983335
12,1,-120.49386666,-120.12874443999999,31.42848889,31.76347778,0,-120.31130554999999,31.595983335
13,1,-120.12874443999999,-119.76362222,31.42848889,31.76347778,0,-119.94618333,31.595983335
14,1,-119.76362222,-119.3985,31.42848889,31.76347778,2,-119.58106111000001,31.595983335
15,1,-119.3985,-119.03337778,31.42848889,31.76347778,0,-119.21593888999999,31.595983335
16,1,-119.03337778,-118.66825556,31.42848889,31.76347778,0,-118.85081667,31.595983335
17,1,-118.66825556,-118.30313334,31.42848889,31.76347778,0,-118.48569445000001,31.595983335
18,1,-118.30313334,-117.93801112,31.42848889,31.76347778,0,-118.12057223,31.595983335
19,1,-117.93801112,-117.5728889,31.42848889,31.76347778,1,-117.75545001,31.595983335
20,1,-117.5728889,-117.20776668,31.42848889,31.76347778,0,-117.39032779,31.595983335
21,1,-117.20776668,-116.84264446,31.42848889,31.76347778,0,-117.02520557,31.595983335
22,1,-116.84264446,-116.47752224,31.42848889,31.76347778,0,-116.66008335000001,31.595983335
23,1,-116.47752224,-116.11240002,31.42848889,31.76347778,2,-116.29496112999999,31.595983335
24,1,-116.11240002,-115.7472778,31.42848889,31.76347778,5,-115.92983891,31.595983335
25,1,-115.7472778,-115.38215558,31.42848889,31.76347778,7,-115.56471669000001,31.595983335
26,1,-115.38215558,-115.01703336,31.42848889,31.76347778,1,-115.19959447,31.595983335
27,1,-115.01703336,-114.65191114000001,31.42848889,31.76347778,3,-114.83447225,31.595983335
28,1,-114.65191114000001,-114.28678892,31.42848889,31.76347778,6,-114.46935003000002,31.595983335
29,1,-114.28678892,-113.9216667,31.42848889,31.76347778,1,-114.10422781,31.595983335
0,2,-124.8753333,-124.51021107999999,31.76347778,32.09846667,0,-124.69277219,31.930972224999998
1,2,-124.51021107999999,-124.14508886,31.76347778,32.09846667,0,-124.32764997,31.930972224999998
2,2,-124.14508886,-123.77996664,31.76347778,32.09846667,1,-123.96252774999999,31.930972224999998
3,2,-123.77996664,-123.41484442,31.76347778,32.09846667,0,-123.59740553,31.930972224999998
4,2,-123.41484442,-123.04972219999999,31.76347778,32.09846667,0,-123.23228330999999,31.930972224999998
5,2,-123.04972219999999,-122.68459998,31.76347778,32.09846667,0,-122.86716109,31.930972224999998
6,2,-122.68459998,-122.31947776,31.76347778,32.09846667,0,-122.50203887,31.930972224999998
