#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|sofiane_time|sofiane_mag_relative|sofiane_parent_id|sofiane_cluster_id|sofiane_generation
1|2015-01-01T00:00:00.000000|1.474374168|1.069199729|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.51896458648|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|0.0|0.01896458648|0|1|0
2|2015-01-01T13:24:50.398819|4.747133003|1.864698012|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.1904236127|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|0.558916653|0.6904236127|0|2|0
3|2015-01-01T13:26:56.751881|4.730426906|1.862802508|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.54524667049|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|0.5603790727|0.04524667049|2|2|1
4|2015-01-01T15:31:04.472878|2.414793839|1.204367085|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.59083679442|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|0.6465795472|0.09083679442|0|3|0
5|2015-01-03T03:30:50.264812|3.245919797|0.4407572646|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.51064178119|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|2.146415102|0.01064178119|0|4|0
6|2015-01-03T09:44:35.891030|0.4076216584|2.457423868|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.54005221839|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|2.405970961|0.04005221839|0|5|0
7|2015-01-03T14:12:55.050652|2.472954187|2.148397362|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|4.0329494409999995|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|2.592303827|1.532949441|0|6|0
8|2015-01-03T18:00:53.090553|2.493923607|2.165787887|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6474342859|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|2.750614474|0.1474342859|7|6|1
9|2015-01-04T03:04:17.133571|0.6070996391|3.630037366|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.9478922618|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|3.127976083|0.4478922618|0|7|0
10|2015-01-04T04:35:37.442457|0.594400568|3.638767845|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.3525542498|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|3.191405584|0.8525542498|9|7|1
11|2015-01-04T05:46:45.578092|0.5550479525|3.617649415|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.601309322|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|3.240805302|1.101309322|10|7|2
12|2015-01-04T06:21:56.901801|0.7212110279|3.56563496|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.2312321851|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|3.265241919|0.7312321851|11|7|3
13|2015-01-04T10:04:12.747331|2.485123944|3.163798257|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6070539632|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|3.419591983|0.1070539632|0|8|0
14|2015-01-05T09:16:46.109078|1.402171481|2.307090579|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6822707047|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|4.386644781|0.1822707047|0|9|0
15|2015-01-08T03:16:25.597545|2.423684745|2.308434949|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.1311433316|synthetic|synthetic_data_case02_three_faults|synthetic_earthquake|7.136407379|0.6311433316|0|10|0
