#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|sofiane_time|sofiane_mag_relative|sofiane_parent_id|sofiane_cluster_id|sofiane_generation
1|2015-01-01T00:00:00.000000|2.698297471|0.8597164272|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6503290521|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|0.0|0.1503290521|0|1|0
2|2015-01-01T04:13:08.410811|1.650104137|3.939747053|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.2999004476|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|0.1757917918|0.7999004476|0|2|0
3|2015-01-01T18:45:22.768680|2.019902959|0.9483006558|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.5153491391|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|0.7815135264|0.0153491391|0|3|0
4|2015-01-02T05:07:40.672416|2.314345054|0.3139345735|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.8798873823999998|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|1.21366519|0.3798873824|0|4|0
5|2015-01-03T14:14:45.154492|2.981993878|0.1585726087|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6741635946|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|2.593578177|0.1741635946|0|5|0
6|2015-01-03T16:06:59.399280|3.641092886|2.386605485|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.8487670562|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|2.671520825|0.3487670562|0|6|0
7|2015-01-04T00:04:20.924371|1.866300445|2.952343692|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.7854665670000003|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|3.003019958|1.285466567|0|7|0
8|2015-01-04T00:42:29.932185|1.869669852|2.9448736|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.7219356181|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|3.029513104|0.2219356181|7|7|1
9|2015-01-04T04:44:19.045996|2.7515278|2.081813371|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|4.322582842|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|3.197442662|1.822582842|0|8|0
10|2015-01-04T05:42:59.427302|1.722127566|2.944792309|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.7721102836|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|3.238187816|0.2721102836|7|7|1
11|2015-01-04T22:51:01.936627|2.770110758|2.078345388|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.9567891601|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|3.952105748|0.4567891601|9|8|1
12|2015-01-05T06:50:04.000819|2.731387655|2.123843031|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.7987828722|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|4.284768528|0.2987828722|9|8|1
13|2015-01-06T10:00:28.234425|4.052222498|1.410382253|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6705733238000002|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|5.416993454|0.1705733238|0|9|0
14|2015-01-07T16:36:52.245849|1.644026868|0.8521079446|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.4170261884|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|6.692271364|0.9170261884|0|10|0
15|2015-01-09T03:01:13.840204|2.944587782|0.8397903048|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.7039725701|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|8.125854632|0.2039725701|0|11|0
16|2015-01-09T08:43:22.886025|3.412259556|1.505713016|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.60191031|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|8.363459329|1.10191031|0|12|0
17|2015-01-10T12:13:32.811283|4.449759683|0.473249777|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.6167734893|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|9.509407538|0.1167734893|0|13|0
18|2015-01-10T23:57:38.836396|4.717302109|2.601402639|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.3741598248|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|9.998366162|0.8741598248|0|14|0
19|2015-01-11T23:37:03.085536|4.134404616|1.514683191|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.7143060467|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|10.98406349|0.2143060467|0|15|0
20|2015-01-12T00:36:42.588288|2.682645536|2.2869675|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.9915751877|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|11.02549292|0.4915751877|0|16|0
21|2015-01-12T08:17:41.377056|3.74162607|0.7728390187|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.8495077543|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|11.34561779|0.3495077543|0|17|0
22|2015-01-13T10:54:40.852800|4.896129836|1.204416266|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|2.7501387172|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|12.4546395|0.2501387172|0|18|0
23|2015-01-13T13:52:45.076800|4.521125818|2.54533165|0.0|SOFIANE|SPDE-ETAS|||relative_plus_offset|3.0319999443|synthetic|synthetic_data_case_01_patches|synthetic_earthquake|12.5782995|0.5319999443|0|19|0
