#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|t_years|bin_ix|bin_iy|lambda_true|f_true
1|2015-01-02T19:52:19.676675|36.177654521016|6.7093796956908305|2.152337865043588|SYNTHETIC|BvaluePG|Toni||Mw|2.7732767791973116|synthetic|synthetic unit-square catalog|earthquake|0.005004806343819057|3|0|0.3|-3.6635616461296463
2|2015-01-06T05:43:38.467488|36.00174587811695|7.911990754412532|3.1966785833558404|SYNTHETIC|BvaluePG|Toni||Mw|2.831564902002097|synthetic|synthetic unit-square catalog|earthquake|0.014342613744027233|9|0|0.3|-3.6635616461296463
3|2015-01-08T02:08:50.374041|36.04109283907411|7.999590162952609|5.728796972179625|SYNTHETIC|BvaluePG|Toni||Mw|2.9687202299783535|synthetic|synthetic unit-square catalog|earthquake|0.01940991628137434|9|0|0.3|-3.6635616461296463
4|2015-01-09T01:51:57.314795|36.105961419525315|8.001692191452287|14.780141145355847|SYNTHETIC|BvaluePG|Toni||Mw|2.5905662578280735|synthetic|synthetic unit-square catalog|earthquake|0.022115665158177755|9|0|0.3|-3.6635616461296463
5|2015-01-09T04:12:33.441874|36.09331105893591|7.843313438038597|2.5131402715213955|SYNTHETIC|BvaluePG|Toni||Mw|3.2090220801998073|synthetic|synthetic unit-square catalog|earthquake|0.022382989893874328|9|0|0.3|-3.6635616461296463
6|2015-01-14T05:35:48.121364|36.139357428720714|9.083429880213364|8.736557945414956|SYNTHETIC|BvaluePG|Toni||Mw|2.6344791302157304|synthetic|synthetic unit-square catalog|earthquake|0.036230515671799024|15|0|0.3|-3.6635616461296463
7|2015-01-14T16:28:36.532582|36.09902787839613|9.418821842280174|11.623039089571268|SYNTHETIC|BvaluePG|Toni||Mw|3.0184081904696867|synthetic|synthetic unit-square catalog|earthquake|0.03747168772602394|16|0|0.3|-3.6635616461296463
8|2015-01-16T11:49:24.376164|36.07580884088383|10.14368857143634|13.167634816313692|SYNTHETIC|BvaluePG|Toni||Mw|2.651291954512889|synthetic|synthetic unit-square catalog|earthquake|0.04241654549662521|20|0|0.3|-3.6635616461296463
9|2015-01-18T08:46:59.092527|36.05023483235797|10.616445457095566|14.57288123296159|SYNTHETIC|BvaluePG|Toni||Mw|2.6411859112925864|synthetic|synthetic unit-square catalog|earthquake|0.04754541196185569|22|0|0.3|-3.6635616461296463
10|2015-01-19T23:28:13.399699|36.03919798856728|10.90881293941629|7.531989113619346|SYNTHETIC|BvaluePG|Toni||Mw|2.8216968358642855|synthetic|synthetic unit-square catalog|earthquake|0.0519587484377626|24|0|0.3|-3.6635616461296463
11|2015-01-23T17:56:05.879285|36.13340571516429|12.094218047489056|15.654405458450043|SYNTHETIC|BvaluePG|Toni||Mw|3.954030120764655|synthetic|synthetic unit-square catalog|earthquake|0.062278686569494646|30|0|0.3|-3.6635616461296463
12|2015-01-27T17:46:41.991898|36.00650224871287|12.70152568406457|5.797753132526411|SYNTHETIC|BvaluePG|Toni||Mw|2.8617949755130896|synthetic|synthetic unit-square catalog|earthquake|0.07321222120497128|32|0|0.3|-3.6635616461296463
13|2015-01-28T08:50:09.255933|36.16854634577415|13.659303553845351|7.053569434707146|SYNTHETIC|BvaluePG|Toni||Mw|2.5621746237018552|synthetic|synthetic unit-square catalog|earthquake|0.07492994574789802|37|0|0.3|-3.6635616461296463
14|2015-01-30T13:11:14.132442|36.10482951163289|13.803911630202773|14.655982852739728|SYNTHETIC|BvaluePG|Toni||Mw|2.988866088229852|synthetic|synthetic unit-square catalog|earthquake|0.08090203730457213|38|0|0.3|-3.6635616461296463
15|2015-02-17T08:12:31.466329|36.03305171819833|14.511358236183426|7.212346895601396|SYNTHETIC|BvaluePG|Toni||Mw|2.66117430347665|synthetic|synthetic unit-square catalog|earthquake|0.12961541645530095|41|0|0.3|-3.6635616461296463
16|2015-02-17T15:51:23.910286|36.04751547332355|14.491799766467174|11.771899338217525|SYNTHETIC|BvaluePG|Toni||Mw|3.1465551929457947|synthetic|synthetic unit-square catalog|earthquake|0.13048786695713743|41|0|0.3|-3.6635616461296463
17|2015-02-20T00:56:17.962653|36.17485104579649|15.006783904502475|13.37382156187313|SYNTHETIC|BvaluePG|Toni||Mw|2.6602515245484586|synthetic|synthetic unit-square catalog|earthquake|0.13699958053380867|44|0|0.3|-3.6635616461296463
18|2015-02-23T04:25:51.703968|36.15567324129316|15.133600413392934|5.120616610988057|SYNTHETIC|BvaluePG|Toni||Mw|2.5508544631458783|synthetic|synthetic unit-square catalog|earthquake|0.1456115707141492|44|0|0.3|-3.6635616461296463
19|2015-02-24T07:22:58.727223|36.01302621748657|15.07677587122403|16.794454916700197|SYNTHETIC|BvaluePG|Toni||Mw|2.5206335025079083|synthetic|synthetic unit-square catalog|earthquake|0.14868617154739194|44|0|0.3|-3.6635616461296463
20|2015-02-24T15:22:30.680171|36.134277032184585|15.511928866244052|16.095698251863517|SYNTHETIC|BvaluePG|Toni||Mw|2.716039305533418|synthetic|synthetic unit-square catalog|earthquake|0.1495978997189651|46|0|0.3|-3.6635616461296463
21|2015-02-28T10:01:23.866492|36.048323522946916|15.580238229737011|14.906429141485278|SYNTHETIC|BvaluePG|Toni||Mw|3.0037104204422063|synthetic|synthetic unit-square catalog|earthquake|0.15993877438374327|47|0|0.3|-3.6635616461296463
22|2015-03-01T11:33:46.245365|36.0870013890277|16.934111146728327|13.685694908026463|SYNTHETIC|BvaluePG|Toni||Mw|2.517807429506451|synthetic|synthetic unit-square catalog|earthquake|0.16285225255930125|53|0|0.3|-3.6635616461296463
23|2015-03-02T12:56:02.080657|36.0961285980142|17.239145048783605|3.3486045840831267|SYNTHETIC|BvaluePG|Toni||Mw|3.196297813030021|synthetic|synthetic unit-square catalog|earthquake|0.16574651052862044|55|0|0.3|-3.6635616461296463
24|2015-03-04T21:04:12.846327|36.09506374948732|17.73630413021734|9.959683932693679|SYNTHETIC|BvaluePG|Toni||Mw|2.9678337957825103|synthetic|synthetic unit-square catalog|earthquake|0.17215038045756637|57|0|0.3|-3.6635616461296463
25|2015-03-06T19:32:39.714831|36.03428761766845|18.00527674188075|5.049678873652937|SYNTHETIC|BvaluePG|Toni||Mw|2.654678253072647|synthetic|synthetic unit-square catalog|earthquake|0.17745201519860476|59|0|0.3|-3.6635616461296463
