global_bin_id|local_bin_id|local_to_global|global_to_local|bin_ix|bin_iy|n_events|x_center_rot_km|y_center_rot_km|inside_mask
0|0|0|0|0|0|0|85.55209596149876|-1340.6148617233607|True
8|8|8|8|0|1|2|85.55209596149876|-1140.6148617233607|True
16|16|16|16|0|2|57|85.55209596149876|-940.6148617233607|True
24|24|24|24|0|3|50|85.55209596149876|-740.6148617233607|True
32|32|32|32|0|4|15|85.55209596149876|-540.6148617233607|True
40|40|40|40|0|5|0|85.55209596149876|-340.6148617233607|True
48|48|48|48|0|6|0|85.55209596149876|-140.61486172336072|True
56|56|56|56|0|7|0|85.55209596149876|59.38513827663928|True
1|1|1|1|1|0|2|285.55209596149876|-1340.6148617233607|True
9|9|9|9|1|1|41|285.55209596149876|-1140.6148617233607|True
17|17|17|17|1|2|55|285.55209596149876|-940.6148617233607|True
25|25|25|25|1|3|51|285.55209596149876|-740.6148617233607|True
33|33|33|33|1|4|62|285.55209596149876|-540.6148617233607|True
41|41|41|41|1|5|8|285.55209596149876|-340.6148617233607|True
49|49|49|49|1|6|0|285.55209596149876|-140.61486172336072|True
57|57|57|57|1|7|0|285.55209596149876|59.38513827663928|True
2|2|2|2|2|0|48|485.55209596149876|-1340.6148617233607|True
10|10|10|10|2|1|51|485.55209596149876|-1140.6148617233607|True
18|18|18|18|2|2|60|485.55209596149876|-940.6148617233607|True
26|26|26|26|2|3|142|485.55209596149876|-740.6148617233607|True
34|34|34|34|2|4|154|485.55209596149876|-540.6148617233607|True
42|42|42|42|2|5|61|485.55209596149876|-340.6148617233607|True
50|50|50|50|2|6|11|485.55209596149876|-140.61486172336072|True
58|58|58|58|2|7|0|485.55209596149876|59.38513827663928|True
3|3|3|3|3|0|61|685.5520959614987|-1340.6148617233607|True
11|11|11|11|3|1|58|685.5520959614987|-1140.6148617233607|True
19|19|19|19|3|2|188|685.5520959614987|-940.6148617233607|True
27|27|27|27|3|3|300|685.5520959614987|-740.6148617233607|True
35|35|35|35|3|4|260|685.5520959614987|-540.6148617233607|True
43|43|43|43|3|5|91|685.5520959614987|-340.6148617233607|True
51|51|51|51|3|6|54|685.5520959614987|-140.61486172336072|True
59|59|59|59|3|7|0|685.5520959614987|59.38513827663928|True
4|4|4|4|4|0|25|885.5520959614987|-1340.6148617233607|True
12|12|12|12|4|1|56|885.5520959614987|-1140.6148617233607|True
20|20|20|20|4|2|240|885.5520959614987|-940.6148617233607|True
28|28|28|28|4|3|230|885.5520959614987|-740.6148617233607|True
36|36|36|36|4|4|146|885.5520959614987|-540.6148617233607|True
44|44|44|44|4|5|56|885.5520959614987|-340.6148617233607|True
52|52|52|52|4|6|63|885.5520959614987|-140.61486172336072|True
60|60|60|60|4|7|2|885.5520959614987|59.38513827663928|True
5|5|5|5|5|0|0|1085.5520959614987|-1340.6148617233607|True
13|13|13|13|5|1|28|1085.5520959614987|-1140.6148617233607|True
21|21|21|21|5|2|57|1085.5520959614987|-940.6148617233607|True
29|29|29|29|5|3|119|1085.5520959614987|-740.6148617233607|True
37|37|37|37|5|4|48|1085.5520959614987|-540.6148617233607|True
45|45|45|45|5|5|68|1085.5520959614987|-340.6148617233607|True
53|53|53|53|5|6|11|1085.5520959614987|-140.61486172336072|True
61|61|61|61|5|7|0|1085.5520959614987|59.38513827663928|True
6|6|6|6|6|0|0|1285.5520959614987|-1340.6148617233607|True
14|14|14|14|6|1|0|1285.5520959614987|-1140.6148617233607|True
22|22|22|22|6|2|34|1285.5520959614987|-940.6148617233607|True
30|30|30|30|6|3|52|1285.5520959614987|-740.6148617233607|True
38|38|38|38|6|4|60|1285.5520959614987|-540.6148617233607|True
46|46|46|46|6|5|11|1285.5520959614987|-340.6148617233607|True
54|54|54|54|6|6|0|1285.5520959614987|-140.61486172336072|True
62|62|62|62|6|7|0|1285.5520959614987|59.38513827663928|True
7|7|7|7|7|0|0|1485.5520959614987|-1340.6148617233607|True
15|15|15|15|7|1|0|1485.5520959614987|-1140.6148617233607|True
23|23|23|23|7|2|0|1485.5520959614987|-940.6148617233607|True
31|31|31|31|7|3|17|1485.5520959614987|-740.6148617233607|True
39|39|39|39|7|4|13|1485.5520959614987|-540.6148617233607|True
47|47|47|47|7|5|0|1485.5520959614987|-340.6148617233607|True
55|55|55|55|7|6|0|1485.5520959614987|-140.61486172336072|True
63|63|63|63|7|7|0|1485.5520959614987|59.38513827663928|True
