#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|t_years|bin_ix|bin_iy|lambda_true|f_true
1|2015-01-02T07:47:28.504303|36.177654521016|6.1000046956908305|2.719704775897684|SYNTHETIC|BvaluePG|Toni||Mw|2.6054981678409326|synthetic|synthetic unit-square catalog|earthquake|0.0036266542545604352|0|0|0.6|-2.9444389791664407
2|2015-01-02T19:52:19.676675|36.00174587811695|6.490115754412532|15.491631792373761|SYNTHETIC|BvaluePG|Toni||Mw|2.931237203580041|synthetic|synthetic unit-square catalog|earthquake|0.005004806343819057|2|0|0.6|-2.9444389791664407
3|2015-01-03T08:01:42.312218|36.04109283907411|6.983965162952609|16.957623739436187|SYNTHETIC|BvaluePG|Toni||Mw|3.327953618755792|synthetic|synthetic unit-square catalog|earthquake|0.006391560581863187|4|0|0.6|-2.9444389791664407
4|2015-01-05T10:43:52.661355|36.105961419525315|7.595442191452287|9.040869142016161|SYNTHETIC|BvaluePG|Toni||Mw|2.848049249072007|synthetic|synthetic unit-square catalog|earthquake|0.012175598314060343|7|0|0.6|-2.9444389791664407
5|2015-01-05T17:02:17.954953|36.09331105893591|7.437063438038597|6.330004681733877|SYNTHETIC|BvaluePG|Toni||Mw|2.5189278110717224|synthetic|synthetic unit-square catalog|earthquake|0.012895085651432048|7|0|0.6|-2.9444389791664407
6|2015-01-06T05:43:38.467488|36.139357428720714|7.458429880213364|9.61648173953843|SYNTHETIC|BvaluePG|Toni||Mw|2.775901536781378|synthetic|synthetic unit-square catalog|earthquake|0.014342613744027233|7|0|0.6|-2.9444389791664407
7|2015-01-06T10:02:09.041925|36.09902787839613|7.590696842280172|8.299900658141334|SYNTHETIC|BvaluePG|Toni||Mw|3.1846547475787395|synthetic|synthetic unit-square catalog|earthquake|0.014834114188823078|7|0|0.6|-2.9444389791664407
8|2015-01-08T02:08:50.374041|36.07580884088383|7.706188571436339|5.050931469017117|SYNTHETIC|BvaluePG|Toni||Mw|2.5404528999895897|synthetic|synthetic unit-square catalog|earthquake|0.01940991628137434|8|0|0.6|-2.9444389791664407
9|2015-01-08T09:37:45.995209|36.05023483235797|8.178945457095566|6.07977423489967|SYNTHETIC|BvaluePG|Toni||Mw|2.825657077475521|synthetic|synthetic unit-square catalog|earthquake|0.020263454610280895|10|0|0.6|-2.9444389791664407
10|2015-01-08T16:25:10.888898|36.03919798856728|8.26818793941629|4.059351362356871|SYNTHETIC|BvaluePG|Toni||Mw|2.7735410085009162|synthetic|synthetic unit-square catalog|earthquake|0.021038066548111356|11|0|0.6|-2.9444389791664407
11|2015-01-09T01:51:57.314795|36.13340571516429|8.437968047489056|5.102282631867354|SYNTHETIC|BvaluePG|Toni||Mw|3.0270028247709355|synthetic|synthetic unit-square catalog|earthquake|0.022115665158177755|12|0|0.6|-2.9444389791664407
12|2015-01-09T04:12:33.441874|36.00650224871287|9.248400684064572|2.7229774373980646|SYNTHETIC|BvaluePG|Toni||Mw|3.0363808930148366|synthetic|synthetic unit-square catalog|earthquake|0.022382989893874328|15|0|0.6|-2.9444389791664407
