t_years mag lon lat depth event_id lambda_true f_true
3.6266542546e-03 2.6054981678e+00 3.8463344496e-02 7.7241096094e-02 2.7197047759e+00 1.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
5.0048063438e-03 2.9312372036e+00 1.8850605939e-01 7.5907744215e-04 1.5491631792e+01 2.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
6.3915605819e-03 3.3279536188e+00 3.7844813960e-01 1.7866451771e-02 1.6957623739e+01 3.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
1.2175598314e-02 2.8480492491e+00 6.1363161210e-01 4.6070182402e-02 9.0408691420e+00 4.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
1.2895085651e-02 2.5189278111e+00 5.5271670694e-01 4.0570025624e-02 6.3300046817e+00 5.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
1.4342613744e-02 2.7759015368e+00 5.6093456931e-01 6.0590186400e-02 9.6164817395e+00 6.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
1.4834114189e-02 3.1846547476e+00 6.1180647780e-01 4.3055599303e-02 8.2999006581e+00 7.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
1.9409916281e-02 2.5404529000e+00 6.5622637363e-01 3.2960365602e-02 5.0509314690e+00 8.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
2.0263454610e-02 2.8256570775e+00 8.3805594504e-01 2.1841231460e-02 6.0797742349e+00 9.0000000000e+00 6.0000000000e-01 -2.9444389792e+00
2.1038066548e-02 2.7735410085e+00 8.7237997670e-01 1.7042603725e-02 4.0593513624e+00 1.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.2115665158e-02 3.0270028248e+00 9.3768001827e-01 5.8002484854e-02 5.1022826319e+00 1.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.2382989894e-02 3.0363808930e+00 1.2493848785e+00 2.8270646578e-03 2.7229774374e+00 1.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.5365955221e-02 3.8770203321e+00 1.2271359822e+00 7.3281019902e-02 3.6225913467e+00 1.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.6120906248e-02 3.3924319333e+00 1.2827544732e+00 4.5578048536e-02 5.3979458476e+00 1.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
3.2240447696e-02 3.2155180945e+00 1.3204743216e+00 1.4370312260e-02 1.3004518434e+01 1.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
3.2686902193e-02 2.6956458639e+00 1.4692018333e+00 2.0658901445e-02 1.4520653162e+01 1.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
3.6230515672e-02 3.1855488602e+00 1.4328976556e+00 7.6022193825e-02 1.5755880340e+01 1.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
3.7471687726e-02 3.0075031066e+00 1.7160482359e+00 6.7684017954e-02 1.0828798307e+01 1.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
3.8559866335e-02 3.4312020140e+00 1.7723176428e+00 5.6635728202e-03 9.1878837203e+00 1.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
3.9665914595e-02 2.8316510098e+00 1.9396841793e+00 5.8381318341e-02 9.0257612913e+00 2.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
4.0359101448e-02 2.5665301470e+00 1.9659570114e+00 2.1010227368e-02 1.7597720987e+01 2.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
4.1448522215e-02 2.6953469390e+00 2.2523023641e+00 3.7826690882e-02 1.7055966061e+01 2.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
4.2416545497e-02 3.0803742051e+00 2.2133730957e+00 4.1795042615e-02 2.7903316221e+00 2.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
4.7545411962e-02 2.8322107923e+00 2.4045881270e+00 4.1332064994e-02 4.6409851220e+00 2.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
5.1958748438e-02 2.9292246555e+00 2.4299141315e+00 1.4907659856e-02 1.0779244714e+01 2.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
5.3745022426e-02 2.6985217922e+00 2.4935782534e+00 7.4520128166e-02 7.9737436446e+00 2.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
5.4703480077e-02 2.7095719905e+00 2.7340436905e+00 7.7919061832e-02 1.1794786487e+01 2.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
5.5333010281e-02 2.5127941806e+00 2.6878424245e+00 1.1892741676e-03 8.1996966791e+00 2.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
5.9169801004e-02 4.3243038053e+00 2.6675284336e+00 6.1843328677e-02 1.4347103417e+01 2.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
6.2278686569e-02 3.0134315543e+00 2.8247300835e+00 5.7257380267e-02 8.8959968093e+00 3.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
6.2841423749e-02 2.7615889678e+00 2.9251273939e+00 6.5441765440e-02 1.3991504266e+01 3.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
6.3993306736e-02 2.7182060392e+00 3.1174926149e+00 1.3346464749e-03 2.5665169458e+00 3.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
6.7571146169e-02 3.0490572080e+00 3.3096718023e+00 6.7200955295e-03 1.5042014088e+01 3.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
6.9412562471e-02 2.7855147617e+00 3.4380988905e+00 5.0770130124e-03 1.4176451042e+01 3.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
7.1333485304e-02 2.9681534641e+00 3.4621554026e+00 4.2633203574e-02 4.8346429335e+00 3.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
7.3212221205e-02 3.3951845799e+00 3.5892901744e+00 5.0753020137e-02 1.0570849631e+01 3.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
7.4929945748e-02 2.8985982928e+00 3.5282029865e+00 3.2785689933e-02 5.4480788816e+00 3.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
8.0902037305e-02 2.9847706194e+00 3.6316214702e+00 6.6126444191e-02 1.3422250653e+01 3.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
8.4728506416e-02 2.5196618142e+00 3.7256022632e+00 6.6610419835e-02 1.2181155284e+01 3.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
8.5181485256e-02 2.5384378650e+00 3.7585745636e+00 3.8666969677e-02 5.5901418056e+00 4.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
8.9284035789e-02 2.7468899984e+00 3.9825294855e+00 4.5269486528e-03 1.7961867850e+01 4.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
9.2363436060e-02 3.0652827790e+00 4.1891122933e+00 5.8837574543e-02 5.1625800803e+00 4.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
9.2712175323e-02 3.2963247860e+00 4.4915523540e+00 5.7677596533e-02 2.7844231461e+00 4.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
9.4111942375e-02 2.8661853601e+00 4.6605197128e+00 6.6464645747e-02 1.2895496280e+01 4.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
9.4610128711e-02 2.9846221572e+00 4.7606041773e+00 5.4406057433e-02 1.0457377554e+01 4.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
9.5211165652e-02 3.4110451815e+00 4.7945168789e+00 3.3445396722e-02 4.9787004816e+00 4.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.0037366603e-01 3.5045141633e+00 4.9590566016e+00 6.1720766396e-02 1.5627773476e+01 4.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.0089207820e-01 4.2052726378e+00 5.5142590816e-02 1.1849679057e-01 1.0911758387e+01 4.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.1366131412e-01 2.5017115046e+00 2.9579740043e-01 8.2846385374e-02 1.3185260216e+01 4.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.1581177251e-01 3.0472339309e+00 2.7765294523e-01 1.4898327980e-01 2.0431119387e+00 5.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.1705692886e-01 2.8182465188e+00 6.2214060528e-01 7.9640339571e-02 3.8585976228e+00 5.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.2003313803e-01 2.6054721862e+00 5.9336002770e-01 1.3279655509e-01 1.7672637577e+01 5.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.2785365769e-01 2.5214860802e+00 5.9949910771e-01 8.3384121076e-02 8.9425257409e+00 5.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.2961541646e-01 3.3248039964e+00 6.8526921034e-01 1.3704137850e-01 3.5730302930e+00 5.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.3048786696e-01 3.7530290636e+00 6.4195908203e-01 1.0283857621e-01 2.3802976633e+00 5.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.3668709586e-01 3.3347044282e+00 7.5783902292e-01 1.1601098465e-01 1.4023112052e+01 5.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.3699958053e-01 2.7959644375e+00 8.4647286443e-01 1.0194447078e-01 2.0210710811e+00 5.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.3810022083e-01 2.5324445333e+00 9.4936788897e-01 1.4958825768e-01 2.4439969549e+00 5.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.4002859192e-01 2.8653009774e+00 9.6422482465e-01 9.6858843457e-02 1.1559206322e+01 5.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.4026171881e-01 2.9523157184e+00 1.1083921984e+00 1.0916752370e-01 4.2620565641e+00 6.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.4561157071e-01 3.7846945780e+00 1.2298127074e+00 7.8224670786e-02 3.5205797695e+00 6.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.4762667060e-01 2.6176750738e+00 1.4070468197e+00 1.2807837553e-01 1.0054389036e+01 6.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.4868617155e-01 3.0919402287e+00 1.4292135435e+00 1.5464480472e-01 1.1214380663e+01 6.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.4959789972e-01 2.8811334808e+00 1.5394719158e+00 1.2702521424e-01 2.5454479175e+00 6.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.5195376507e-01 2.7237514656e+00 1.7729094532e+00 1.4157877536e-01 1.5172287927e+01 6.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.5993877438e-01 2.5420276618e+00 2.2259536797e+00 1.1140095556e-01 4.3944173253e+00 6.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6033010753e-01 3.0268673916e+00 2.2890848460e+00 1.4229319036e-01 1.2210513522e+01 6.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6059909052e-01 2.9491685611e+00 2.5539653067e+00 1.0111456239e-01 9.6499339228e+00 6.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6093644664e-01 3.0587523880e+00 2.5881071062e+00 1.3507906635e-01 1.2897873159e+01 6.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6210825883e-01 3.3918235469e+00 2.7260272233e+00 1.1525979584e-01 1.4037293967e+01 7.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6285225256e-01 2.5039175816e+00 2.7339094189e+00 1.0474927955e-01 1.4960832561e+01 7.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6574651053e-01 2.7716116939e+00 2.8322673783e+00 1.2441093904e-01 1.4846678048e+01 7.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6758537496e-01 3.2736431874e+00 2.9365753709e+00 1.1741513736e-01 4.1302516329e+00 7.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6857952261e-01 2.6071569856e+00 3.2645396577e+00 1.2987910739e-01 1.0091502682e+01 7.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.6971318124e-01 2.6868209313e+00 3.2727839962e+00 1.5459517884e-01 6.7007263568e+00 7.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7006116905e-01 2.5610336334e+00 3.2851518325e+00 1.5393372537e-01 1.3242053017e+01 7.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7215038046e-01 2.6465770691e+00 3.7989142879e+00 1.0967145553e-01 7.0549528746e+00 7.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7229319434e-01 2.7315575931e+00 3.8919285761e+00 8.6602995588e-02 1.7063246220e+01 7.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7487565079e-01 2.8067141704e+00 3.9571877167e+00 1.0848567051e-01 1.6056061019e+01 7.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7637495340e-01 3.0708663176e+00 4.0706848082e+00 1.4232358776e-01 1.6063979724e+01 8.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7745201520e-01 2.5464422780e+00 4.2953599355e+00 1.0230333025e-01 7.7153150111e+00 8.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.7952365208e-01 2.8805896107e+00 4.6330467521e+00 1.2970636574e-01 7.6516105455e+00 8.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.8180190148e-01 2.9592698071e+00 4.8586642978e+00 1.1079904913e-01 1.6660504975e+01 8.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.8278669564e-01 2.8521354285e+00 4.9289825248e+00 1.0112496935e-01 6.9920318124e+00 8.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.8874055359e-01 2.5538069750e+00 3.1233156714e-02 2.2508904339e-01 1.1719289212e+01 8.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.8939168400e-01 2.8174726870e+00 3.5578083816e-01 1.7900439315e-01 1.6136181285e+01 8.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.9001780399e-01 3.3416684849e+00 4.5775649622e-01 1.7696758589e-01 7.5564872326e+00 8.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.9466417602e-01 3.1564023950e+00 3.9823638258e-01 1.9409202534e-01 5.5916800695e+00 8.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.9652449048e-01 3.4368544336e+00 5.7006306552e-01 1.9575934913e-01 2.2419395700e+00 8.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
1.9968312456e-01 2.5242916251e+00 6.2842620224e-01 1.8319811829e-01 1.5501208405e+01 9.0000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.0011472849e-01 2.5701500824e+00 9.4331045206e-01 2.0145379290e-01 1.0976124310e+01 9.1000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.0562702528e-01 2.5095227168e+00 1.0127182623e+00 1.9072413188e-01 1.6331585438e+01 9.2000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.0811706050e-01 2.5253845259e+00 9.8092730501e-01 2.0795440871e-01 1.7056852694e+01 9.3000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1015029955e-01 2.7259899978e+00 1.3043346758e+00 1.9200282523e-01 1.0639406149e+01 9.4000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1044311145e-01 2.5827195547e+00 1.3810185423e+00 2.3168254296e-01 2.9662407453e+00 9.5000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1060667396e-01 2.7311211012e+00 1.3833458430e+00 1.6696135390e-01 1.6089597663e+01 9.6000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1182853578e-01 3.1707275197e+00 1.4776796120e+00 1.9969450631e-01 3.8074228861e+00 9.7000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1266671664e-01 2.6464596640e+00 1.5024938801e+00 1.5692906440e-01 1.6087529561e+01 9.8000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1368244120e-01 3.9588424805e+00 1.5224135925e+00 2.1989878835e-01 1.6055055343e+01 9.9000000000e+01 6.0000000000e-01 -2.9444389792e+00
2.1505117560e-01 2.7921070600e+00 1.7816793613e+00 2.1818239322e-01 1.2785073841e+01 1.0000000000e+02 6.0000000000e-01 -2.9444389792e+00
2.1721795919e-01 2.6097666469e+00 2.0931479794e+00 1.6269417774e-01 1.5719884668e+01 1.0100000000e+02 6.0000000000e-01 -2.9444389792e+00
2.1771692371e-01 2.6628061549e+00 2.2530998595e+00 1.9093574841e-01 8.9697799671e+00 1.0200000000e+02 6.0000000000e-01 -2.9444389792e+00
2.1774809842e-01 3.0152671779e+00 2.3422264050e+00 1.9337192487e-01 1.3671796472e+01 1.0300000000e+02 6.0000000000e-01 -2.9444389792e+00
2.1818770362e-01 2.5218703448e+00 2.3213045374e+00 1.8982625134e-01 3.7732786592e+00 1.0400000000e+02 6.0000000000e-01 -2.9444389792e+00
2.2198288905e-01 3.5011745162e+00 2.3528390605e+00 2.0349678099e-01 7.0936815734e+00 1.0500000000e+02 6.0000000000e-01 -2.9444389792e+00
2.2658633720e-01 2.9885153856e+00 2.4873875937e+00 1.9443456409e-01 9.5447812136e+00 1.0600000000e+02 6.0000000000e-01 -2.9444389792e+00
2.2729853088e-01 2.8116120344e+00 2.5175918857e+00 2.1363202464e-01 7.4169710053e+00 1.0700000000e+02 6.0000000000e-01 -2.9444389792e+00
2.2785144483e-01 2.8148378991e+00 2.7852141364e+00 2.2323243131e-01 1.0009454921e+01 1.0800000000e+02 6.0000000000e-01 -2.9444389792e+00
2.2851042162e-01 2.6020515060e+00 2.7577689761e+00 1.6511582375e-01 5.0053471567e+00 1.0900000000e+02 6.0000000000e-01 -2.9444389792e+00
